16.020 -97.665	0.273
16.070 -98.440	0.050
15.685 -97.403	0.033
15.955 -98.680	0.050
16.005 -97.680	2.771
16.020 -97.570	0.536
16.023 -98.357	0.040
15.990 -97.625	0.141
16.026 -97.672	0.941
15.625 -97.885	0.223
16.585 -98.635	0.096
17.460 -101.510	1.424
15.949 -98.864	0.026
16.280 -98.060	0.080
16.515 -99.050	1.825
16.365 -98.235	0.018
16.248 -98.109	0.190
15.977 -98.050	0.089
16.036 -98.649	0.029
15.925 -98.475	0.281
16.000 -98.500	0.223
16.553 -98.520	0.714
16.520 -98.500	0.034
17.015 -101.540	0.128
16.035 -98.465	0.077
16.750 -99.980	0.020
16.040 -97.580	0.529
16.080 -98.150	0.032
15.960 -98.695	0.034
16.021 -98.938	0.077
16.285 -98.265	0.143
16.850 -100.075	0.400
16.530 -100.520	0.227
15.830 -98.530	0.050
17.130 -101.557	0.456
16.270 -97.990	0.120
16.010 -98.520	0.065
16.080 -98.650	0.069
15.830 -98.475	0.620
16.559 -98.986	0.394
16.070 -98.355	0.139
15.915 -98.685	0.053
16.200 -98.370	0.026
16.765 -101.000	0.105
16.900 -100.263	0.073
15.980 -98.565	0.226
15.905 -98.445	0.163
16.495 -98.455	0.027
16.240 -98.030	0.043
15.950 -98.800	0.486
16.270 -97.955	1.135
16.090 -97.685	4.760
16.271 -98.109	0.050
16.410 -98.060	0.004
16.269 -98.124	0.034
16.225 -98.355	0.034
17.135 -101.450	1.042
16.259 -98.300	1.000
16.230 -98.085	0.117
15.920 -98.423	0.015
15.960 -98.595	0.018
16.035 -97.667	0.061
16.025 -98.695	0.103
16.045 -98.695	0.013
16.005 -98.740	1.323
15.975 -98.675	0.018
16.010 -98.695	0.052
16.353 -98.937	0.440
16.583 -98.733	0.212
16.230 -98.040	0.084
16.080 -98.865	0.056
16.055 -98.425	0.040
16.120 -98.405	0.087
15.960 -98.310	0.054
15.983 -98.720	0.031
16.280 -98.115	0.012
15.938 -98.338	0.012
16.240 -97.840	0.011
16.030 -98.995	0.031
16.050 -97.575	1.345
16.294 -98.234	0.048
16.230 -98.060	0.077
16.015 -97.970	0.220
16.520 -98.465	0.010
17.295 -101.465	4.151
17.075 -100.645	0.066
16.980 -100.480	0.105
16.025 -97.670	0.709
16.025 -97.668	0.062
16.315 -98.270	0.471
16.140 -99.190	0.014
16.075 -98.635	0.276
16.300 -98.170	0.119
16.529 -98.460	0.013
16.330 -98.250	1.155
15.995 -98.450	0.030
16.242 -98.325	0.208
15.930 -98.161	0.387
16.055 -98.415	0.070
16.275 -98.015	0.159
16.262 -98.032	0.249
16.265 -98.355	0.028
16.005 -98.685	0.099
17.090 -101.495	0.040
17.215 -101.485	0.380
15.920 -98.690	0.218
16.006 -97.684	1.366
16.355 -98.295	0.039
15.997 -97.680	0.113
16.275 -97.905	0.024
15.935 -98.135	0.025
16.255 -97.990	0.009
16.300 -97.885	0.746
16.100 -97.495	0.016
16.510 -99.540	0.033
15.990 -98.610	0.030
16.026 -98.647	0.101
16.290 -98.225	0.131
16.213 -99.130	0.012
16.023 -98.415	0.024
15.987 -98.431	0.513
15.994 -98.465	0.099
16.015 -98.620	0.117
16.065 -98.635	0.034
16.331 -98.223	0.015
17.220 -101.610	1.036
15.763 -98.377	0.040
17.150 -101.375	0.063
16.945 -101.535	1.276
16.243 -98.367	0.053
16.012 -97.667	0.522
16.525 -99.070	0.227
16.310 -98.050	0.439
15.903 -98.717	0.032
15.590 -97.377	0.059
17.155 -101.395	0.284
15.940 -98.620	0.047
16.920 -100.385	0.091
17.323 -101.280	0.040
15.775 -97.125	0.491
16.260 -98.125	0.027
17.010 -101.460	0.057
15.655 -97.365	1.808
15.570 -97.390	0.067
15.845 -97.260	0.129
15.925 -97.280	0.171
17.190 -101.360	0.389
16.790 -100.390	0.178
16.515 -100.430	13.820
15.978 -98.410	0.140
16.048 -98.442	0.103
15.920 -98.325	0.169
15.990 -98.720	0.432
15.975 -98.400	1.616
16.355 -98.305	0.133
15.935 -98.410	0.144
15.990 -97.595	1.066
16.008 -98.455	0.098
15.970 -98.805	0.032
16.285 -98.280	0.079
16.030 -98.620	0.375
15.880 -98.835	0.018
15.965 -98.388	4.101
16.975 -100.510	0.122
15.970 -98.585	0.614
16.083 -98.613	0.367
16.020 -98.625	0.207
15.990 -98.615	0.472
16.050 -97.660	1.840
16.445 -99.540	0.159
16.020 -98.690	0.090
15.879 -98.348	0.103
16.265 -98.085	0.730
16.030 -98.383	0.229
15.930 -98.270	0.093
15.873 -98.753	0.022
15.985 -98.305	0.285
16.070 -98.895	0.047
15.973 -98.640	0.210
16.041 -98.389	0.088
16.015 -98.665	0.370
16.076 -97.669	3.709
16.100 -98.465	1.165
16.155 -98.785	3.670
15.930 -98.445	10.302
16.005 -98.435	0.026
16.380 -98.025	15.318
15.980 -98.147	7.578
15.915 -98.110	2.846
16.080 -98.427	0.250
15.955 -98.820	0.019
16.050 -98.315	2.759
15.941 -98.269	0.144
15.985 -98.398	0.875
16.100 -99.205	0.015
15.857 -98.760	0.029
16.005 -98.355	0.938
15.995 -98.815	0.031
15.947 -98.881	0.032
16.094 -98.314	0.403
16.281 -98.098	0.521
16.010 -98.400	0.083
16.020 -98.653	0.065
16.235 -98.260	0.722
16.043 -98.367	0.328
16.015 -98.655	0.024
16.240 -98.045	0.762
15.968 -98.707	0.133
16.023 -98.660	0.320
15.987 -98.633	0.590
15.967 -98.443	0.143
16.183 -98.730	0.137
15.976 -98.478	0.181
15.838 -98.392	0.028
15.955 -98.348	1.657
16.390 -98.250	1.046
16.015 -98.410	1.165
16.005 -98.395	0.426
15.985 -98.425	0.736
16.320 -99.640	0.062
16.330 -98.030	0.941
16.110 -98.455	8.909
16.114 -98.469	0.101
16.135 -98.450	8.889
16.269 -99.193	0.172
16.287 -98.630	6.045
16.087 -98.247	0.857
16.215 -98.435	2.419
16.015 -97.680	0.777
16.925 -100.920	0.069
17.080 -101.455	0.082
17.040 -101.520	0.229
16.700 -99.547	0.029
16.895 -100.375	1.972
16.670 -100.965	0.309
16.887 -100.260	0.189
17.135 -101.125	80.941
17.125 -101.165	1.480
16.890 -100.305	0.662
16.450 -99.123	0.251
16.520 -100.400	0.154
16.690 -99.680	0.066
16.390 -100.955	2.931
16.770 -100.125	0.057
15.885 -96.990	0.058
17.080 -101.515	0.707
16.593 -100.433	260.373
16.985 -100.500	3808.321
17.045 -100.495	839.871
16.253 -98.269	1.226
16.828 -100.132	0.353
16.963 -100.760	0.168
16.565 -100.530	0.066
16.876 -100.243	0.272
17.114 -100.506	0.370
17.245 -101.337	0.114
16.873 -100.135	0.797
16.956 -100.206	0.109
17.024 -101.561	0.197
17.265 -101.302	0.151
16.970 -100.492	1.115
