16.020 -97.665	0.410
16.070 -98.440	0.208
15.685 -97.403	0.629
15.955 -98.680	0.039
16.005 -97.680	0.249
16.020 -97.570	0.187
16.023 -98.357	0.015
15.990 -97.625	0.153
16.026 -97.672	0.372
15.625 -97.885	0.086
16.585 -98.635	0.015
17.460 -101.510	0.132
15.949 -98.864	0.004
16.280 -98.060	0.032
16.515 -99.050	0.092
16.365 -98.235	0.113
16.248 -98.109	0.268
15.977 -98.050	0.264
16.036 -98.649	0.022
15.925 -98.475	0.211
16.000 -98.500	0.090
16.553 -98.520	0.128
16.520 -98.500	0.127
17.015 -101.540	0.041
16.035 -98.465	0.035
16.750 -99.980	0.011
16.040 -97.580	0.814
16.080 -98.150	0.050
15.960 -98.695	0.043
16.021 -98.938	0.024
16.285 -98.265	0.038
16.850 -100.075	0.080
16.530 -100.520	0.041
15.830 -98.530	0.063
17.130 -101.557	0.080
16.270 -97.990	0.025
16.010 -98.520	0.008
16.080 -98.650	0.083
15.830 -98.475	0.376
16.559 -98.986	0.190
16.070 -98.355	0.060
15.915 -98.685	0.048
16.200 -98.370	0.003
16.765 -101.000	0.010
16.900 -100.263	0.035
15.980 -98.565	0.096
15.905 -98.445	0.044
16.495 -98.455	0.019
16.240 -98.030	0.067
15.950 -98.800	0.146
16.270 -97.955	0.311
16.090 -97.685	4.505
16.271 -98.109	0.029
16.410 -98.060	0.116
16.269 -98.124	0.034
16.225 -98.355	0.038
17.135 -101.450	0.387
16.259 -98.300	0.530
16.230 -98.085	0.044
15.920 -98.423	0.021
15.960 -98.595	0.013
16.035 -97.667	0.673
16.025 -98.695	0.017
16.045 -98.695	0.008
16.005 -98.740	0.328
15.975 -98.675	0.012
16.010 -98.695	0.028
16.353 -98.937	0.103
16.583 -98.733	0.184
16.230 -98.040	0.118
16.080 -98.865	0.045
16.055 -98.425	0.029
16.120 -98.405	0.046
15.960 -98.310	0.031
15.983 -98.720	0.044
16.280 -98.115	0.027
15.938 -98.338	0.052
16.240 -97.840	0.042
16.030 -98.995	0.029
16.050 -97.575	0.614
16.294 -98.234	0.141
16.230 -98.060	0.072
16.015 -97.970	0.070
16.520 -98.465	0.008
17.295 -101.465	0.482
17.075 -100.645	0.033
16.980 -100.480	0.070
16.025 -97.670	0.377
16.025 -97.668	0.386
16.315 -98.270	0.733
16.140 -99.190	0.018
16.075 -98.635	0.130
16.300 -98.170	0.042
16.529 -98.460	0.038
16.330 -98.250	0.219
15.995 -98.450	0.108
16.242 -98.325	0.264
15.930 -98.161	0.531
16.055 -98.415	0.127
16.275 -98.015	0.093
16.262 -98.032	0.082
16.265 -98.355	0.050
16.005 -98.685	0.052
17.090 -101.495	0.028
17.215 -101.485	0.118
15.920 -98.690	0.391
16.006 -97.684	0.160
16.355 -98.295	0.110
15.997 -97.680	0.317
16.275 -97.905	0.048
15.935 -98.135	0.015
16.255 -97.990	0.014
16.300 -97.885	0.135
16.100 -97.495	0.012
16.510 -99.540	0.045
15.990 -98.610	0.012
16.026 -98.647	0.092
16.290 -98.225	0.071
16.213 -99.130	0.002
16.023 -98.415	0.013
15.987 -98.431	0.225
15.994 -98.465	0.050
16.015 -98.620	0.228
16.065 -98.635	0.011
16.331 -98.223	0.029
17.220 -101.610	0.449
15.763 -98.377	0.022
17.150 -101.375	0.013
16.945 -101.535	0.431
16.243 -98.367	0.040
16.012 -97.667	0.254
16.525 -99.070	0.947
16.310 -98.050	0.336
15.903 -98.717	0.059
15.590 -97.377	1.403
17.155 -101.395	0.827
15.940 -98.620	0.143
16.920 -100.385	0.148
17.323 -101.280	0.111
15.775 -97.125	0.438
16.260 -98.125	0.044
17.010 -101.460	0.040
15.655 -97.365	1.692
15.570 -97.390	0.168
15.845 -97.260	0.969
15.925 -97.280	0.089
17.190 -101.360	0.215
16.790 -100.390	0.106
16.515 -100.430	1.524
15.978 -98.410	0.087
16.048 -98.442	0.210
15.920 -98.325	0.052
15.990 -98.720	0.051
15.975 -98.400	0.104
16.355 -98.305	0.209
15.935 -98.410	0.080
15.990 -97.595	0.614
16.008 -98.455	0.363
15.970 -98.805	0.013
16.285 -98.280	0.046
16.030 -98.620	0.280
15.880 -98.835	0.009
15.965 -98.388	1.228
16.975 -100.510	0.236
15.970 -98.585	0.214
16.083 -98.613	0.044
16.020 -98.625	0.944
15.990 -98.615	0.311
16.050 -97.660	0.334
16.445 -99.540	0.007
16.020 -98.690	0.016
15.879 -98.348	0.160
16.265 -98.085	0.279
16.030 -98.383	0.075
15.930 -98.270	0.008
15.873 -98.753	0.028
15.985 -98.305	0.096
16.070 -98.895	0.116
15.973 -98.640	0.056
16.041 -98.389	0.044
16.015 -98.665	0.128
16.076 -97.669	1.118
16.100 -98.465	0.181
16.155 -98.785	1.860
15.930 -98.445	10.158
16.005 -98.435	0.073
16.380 -98.025	2.237
15.980 -98.147	1.486
15.915 -98.110	4.029
16.080 -98.427	0.046
15.955 -98.820	0.017
16.050 -98.315	0.266
15.941 -98.269	0.104
15.985 -98.398	0.242
16.100 -99.205	0.044
15.857 -98.760	0.043
16.005 -98.355	0.194
15.995 -98.815	0.034
15.947 -98.881	0.012
16.094 -98.314	0.270
16.281 -98.098	1.242
16.010 -98.400	0.093
16.020 -98.653	0.075
16.235 -98.260	0.097
16.043 -98.367	0.031
16.015 -98.655	0.007
16.240 -98.045	0.223
15.968 -98.707	0.135
16.023 -98.660	0.242
15.987 -98.633	0.060
15.967 -98.443	0.097
16.183 -98.730	0.040
15.976 -98.478	0.062
15.838 -98.392	0.029
15.955 -98.348	0.231
16.390 -98.250	0.287
16.015 -98.410	0.150
16.005 -98.395	0.050
15.985 -98.425	0.150
16.320 -99.640	0.040
16.330 -98.030	0.049
16.110 -98.455	1.104
16.114 -98.469	1.849
16.135 -98.450	1.164
16.269 -99.193	0.019
16.287 -98.630	0.528
16.087 -98.247	0.209
16.215 -98.435	0.566
16.015 -97.680	0.380
16.925 -100.920	0.011
17.080 -101.455	0.045
17.040 -101.520	0.060
16.700 -99.547	0.019
16.895 -100.375	0.520
16.670 -100.965	0.003
16.887 -100.260	0.094
17.135 -101.125	0.441
17.125 -101.165	1.298
16.890 -100.305	0.083
16.450 -99.123	0.019
16.520 -100.400	0.041
16.690 -99.680	0.018
16.390 -100.955	0.005
16.770 -100.125	0.173
15.885 -96.990	0.054
17.080 -101.515	0.346
16.593 -100.433	0.363
16.985 -100.500	3.472
17.045 -100.495	0.091
16.253 -98.269	0.388
16.828 -100.132	0.131
16.963 -100.760	0.072
16.565 -100.530	0.535
16.876 -100.243	0.134
17.114 -100.506	0.202
17.245 -101.337	0.036
16.873 -100.135	0.127
16.956 -100.206	0.016
17.024 -101.561	0.087
17.265 -101.302	0.039
16.970 -100.492	0.201
